Time,Var1,Var2
1.8500,31.1933,14.5680
1.8600,31.1336,14.5988
1.8700,31.0738,14.6297
1.8800,31.0139,14.6605
1.8900,30.9539,14.6913
1.9000,30.8939,14.7221
1.9100,30.8338,14.7528
1.9200,30.7736,14.7835
1.9300,30.7134,14.8142
1.9400,30.6530,14.8449
1.9500,30.5926,14.8756
1.9600,30.5322,14.9062
1.9700,30.4717,14.9368
1.9800,30.4111,14.9673
1.9900,30.3504,14.9979
2.0000,30.2897,15.0284
2.0100,30.2289,15.0588
2.0200,30.1681,15.0893
2.0300,30.1072,15.1197
2.0400,30.0462,15.1501
2.0500,29.9852,15.1804
2.0600,29.9241,15.2108
2.0700,29.8630,15.2411
2.0800,29.8018,15.2713
2.0900,29.7405,15.3015
2.1000,29.6792,15.3317
2.1100,29.6179,15.3619
2.1200,29.5565,15.3920
2.1300,29.4950,15.4221
2.1400,29.4335,15.4521
2.1500,29.3719,15.4821
2.1600,29.3103,15.5121
2.1700,29.2487,15.5421
2.1800,29.1870,15.5720
2.1900,29.1253,15.6018
2.2000,29.0635,15.6316
2.2100,29.0017,15.6614
2.2200,28.9398,15.6911
2.2300,28.8779,15.7208
2.2400,28.8160,15.7505
2.2500,28.7540,15.7801
2.2600,28.6920,15.8097
2.2700,28.6299,15.8392
2.2800,28.5679,15.8687
2.2900,28.5057,15.8981
2.3000,28.4436,15.9275
2.3100,28.3814,15.9569
2.3200,28.3192,15.9862
2.3300,28.2570,16.0155
2.3400,28.1947,16.0447
2.3500,28.1324,16.0739
2.3600,28.0701,16.1030
2.3700,28.0077,16.1321
2.3800,27.9454,16.1611
2.3900,27.8830,16.1901
2.4000,27.8206,16.2190
2.4100,27.7581,16.2479
2.4200,27.6957,16.2767
2.4300,27.6332,16.3055
2.4400,27.5707,16.3342
2.4500,27.5082,16.3629
2.4600,27.4457,16.3915
2.4700,27.3832,16.4201
2.4800,27.3206,16.4486
2.4900,27.2580,16.4770
2.5000,27.1955,16.5054
2.5100,27.1329,16.5338
2.5200,27.0703,16.5621
2.5300,27.0077,16.5903
2.5400,26.9451,16.6185
2.5500,26.8825,16.6467
2.5600,26.8198,16.6747
2.5700,26.7572,16.7028
2.5800,26.6946,16.7307
2.5900,26.6320,16.7586
2.6000,26.5693,16.7865
2.6100,26.5067,16.8143
2.6200,26.4441,16.8420
2.6300,26.3814,16.8696
2.6400,26.3188,16.8972
2.6500,26.2562,16.9248
2.6600,26.1936,16.9523
2.6700,26.1310,16.9797
2.6800,26.0684,17.0071
2.6900,26.0058,17.0343
2.7000,25.9432,17.0616
2.7100,25.8806,17.0888
2.7200,25.8180,17.1159
2.7300,25.7555,17.1429
2.7400,25.6929,17.1699
2.7500,25.6304,17.1968
2.7600,25.5679,17.2236
2.7700,25.5054,17.2504
2.7800,25.4429,17.2771
2.7900,25.3804,17.3038
2.8000,25.3180,17.3304
2.8100,25.2556,17.3569
2.8200,25.1932,17.3833
2.8300,25.1308,17.4097
2.8400,25.0684,17.4360
2.8500,25.0061,17.4622
2.8600,24.9438,17.4884
2.8700,24.8815,17.5145
2.8800,24.8192,17.5405
2.8900,24.7570,17.5665
2.9000,24.6948,17.5924
2.9100,24.6326,17.6182
2.9200,24.5704,17.6439
2.9300,24.5083,17.6696
2.9400,24.4462,17.6952
2.9500,24.3842,17.7207
2.9600,24.3222,17.7462
2.9700,24.2602,17.7716
2.9800,24.1982,17.7969
2.9900,24.1363,17.8221
3.0000,24.0744,17.8473
3.0100,24.0126,17.8723
3.0200,23.9508,17.8974
3.0300,23.8890,17.9223
3.0400,23.8273,17.9471
3.0500,23.7656,17.9719
3.0600,23.7040,17.9966
3.0700,23.6424,18.0212
3.0800,23.5809,18.0458
3.0900,23.5194,18.0703
3.1000,23.4579,18.0946
3.1100,23.3965,18.1190
3.1200,23.3351,18.1432
3.1300,23.2738,18.1673
3.1400,23.2125,18.1914
3.1500,23.1513,18.2154
3.1600,23.0902,18.2393
3.1700,23.0291,18.2632
3.1800,22.9680,18.2869
3.1900,22.9070,18.3106
3.2000,22.8460,18.3342
3.2100,22.7851,18.3577
3.2200,22.7243,18.3811
3.2300,22.6635,18.4045
3.2400,22.6028,18.4277
3.2500,22.5421,18.4509
3.2600,22.4815,18.4740
3.2700,22.4209,18.4970
3.2800,22.3604,18.5200
3.2900,22.3000,18.5428
3.3000,22.2396,18.5656
3.3100,22.1793,18.5883
3.3200,22.1191,18.6109
3.3300,22.0589,18.6334
3.3400,21.9988,18.6558
3.3500,21.9387,18.6782
3.3600,21.8788,18.7004
3.3700,21.8188,18.7226
3.3800,21.7590,18.7447
3.3900,21.6992,18.7667
3.4000,21.6395,18.7886
3.4100,21.5799,18.8104
3.4200,21.5203,18.8321
3.4300,21.4608,18.8538
3.4400,21.4014,18.8754
3.4500,21.3420,18.8968
3.4600,21.2827,18.9182
3.4700,21.2235,18.9395
3.4800,21.1644,18.9607
3.4900,21.1053,18.9819
3.5000,21.0464,19.0029
3.5100,20.9875,19.0238
3.5200,20.9286,19.0447
3.5300,20.8699,19.0655
3.5400,20.8112,19.0861
3.5500,20.7526,19.1067
3.5600,20.6941,19.1272
3.5700,20.6357,19.1476
3.5800,20.5773,19.1680
3.5900,20.5191,19.1882
3.6000,20.4609,19.2083
3.6100,20.4028,19.2284
3.6200,20.3448,19.2483
3.6300,20.2868,19.2682
3.6400,20.2290,19.2880
3.6500,20.1712,19.3077
3.6600,20.1135,19.3273
3.6700,20.0560,19.3468
3.6800,19.9984,19.3662
3.6900,19.9410,19.3855
3.7000,19.8837,19.4047
3.7100,19.8265,19.4238
3.7200,19.7693,19.4429
3.7300,19.7123,19.4618
3.7400,19.6553,19.4807
3.7500,19.5984,19.4994
3.7600,19.5416,19.5181
3.7700,19.4849,19.5367
3.7800,19.4283,19.5552
3.7900,19.3718,19.5736
3.8000,19.3154,19.5919
3.8100,19.2591,19.6101
3.8200,19.2028,19.6282
3.8300,19.1467,19.6462
3.8400,19.0907,19.6641
3.8500,19.0347,19.6820
3.8600,18.9789,19.6997
3.8700,18.9231,19.7173
3.8800,18.8675,19.7349
3.8900,18.8119,19.7523
3.9000,18.7565,19.7697
3.9100,18.7011,19.7869
3.9200,18.6459,19.8041
3.9300,18.5907,19.8212
3.9400,18.5356,19.8382
3.9500,18.4807,19.8551
3.9600,18.4258,19.8719
3.9700,18.3711,19.8885
3.9800,18.3164,19.9051
3.9900,18.2619,19.9217
4.0000,18.2074,19.9381
4.0100,18.1531,19.9544
4.0200,18.0988,19.9706
4.0300,18.0447,19.9867
4.0400,17.9907,20.0028
4.0500,17.9367,20.0187
4.0600,17.8829,20.0345
4.0700,17.8292,20.0503
4.0800,17.7756,20.0659
4.0900,17.7221,20.0815
4.1000,17.6687,20.0969
4.1100,17.6154,20.1123
4.1200,17.5622,20.1276
4.1300,17.5091,20.1428
4.1400,17.4561,20.1578
4.1500,17.4033,20.1728
4.1600,17.3505,20.1877
4.1700,17.2979,20.2025
4.1800,17.2453,20.2172
4.1900,17.1929,20.2318
4.2000,17.1406,20.2463
4.2100,17.0884,20.2607
4.2200,17.0363,20.2750
4.2300,16.9843,20.2892
4.2400,16.9324,20.3034
4.2500,16.8806,20.3174
