iteration,error,currentInitImpulse
0,1890.94629073143,9.76461359211918 -26.747453185946217 -0.12197820414134335
1,2008.1343929767609,10.730333876379767 -24.072707867351596 -0.12654309436500472
2,2147.499736905098,11.791563896753726 -21.665437080616435 -0.13325153977109178
3,2299.1698108911514,12.957749566142668 -19.498893372554793 -0.14263501374006912
4,2476.696561217308,14.23927099823418 -17.549004035299312 -0.15365429515806553
5,2677.321711540222,15.647534899959538 -15.794103631769381 -0.16580603279399056
6,2898.4845559597015,17.195076101565537 -14.214693268592443 -0.17915833031690917
7,3145.623021364212,18.89566912801037 -12.7932239417332 -0.19347763064974
8,3427.342120051384,20.764450804770593 -11.513901547559879 -0.209260858516941
9,3736.4907083511353,22.818054989362402 -10.36251139280389 -0.22609763140885988
10,4076.2633476257324,25.074760627810342 -9.3262602535235 -0.24417167518780666
11,4459.171451330185,27.554654453900785 -8.39363422817115 -0.26285988161016494
12,4874.557058215141,30.27980977939157 -7.554270805354035 -0.28235496976084806
13,5337.37946665287,33.274482966573395 -6.7988437248186315 -0.3026954901506068
14,5847.617938160896,36.56532933196751 -6.118959352336768 -0.3232152594228605
15,6412.150814771652,40.181640402899106 -5.507063417103091 -0.34439759059461506
16,7029.7612109184265,44.15560463874583 -4.956357075392782 -0.3660438823820638
17,7713.195273399353,48.52259393751779 -4.4607213678535045 -0.3877856905888818
18,8464.643543362617,53.32147847793831 -4.014649231068154 -0.4103106044177875
19,9291.653966784477,58.59497269940641 -3.6131843079613386 -0.43328499552092614
20,10201.055849075317,64.3900154993777 -3.251865877165205 -0.45596488700369636
21,11200.37389433384,70.75818803226616 -2.9266792894486846 -0.47917424027037725
22,12303.644755125046,77.7561728286573 -2.6340113605038162 -0.5027146601750497
23,13508.933843135834,85.4462583214115 -2.3706102244534346 -0.5265948475930903
24,14840.653757452965,93.8968932693991 -2.133549202008091 -0.5511023661993043
25,16302.67434489727,103.18329601374266 -1.920194281807282 -0.5807646140273165
26,17911.98782157898,113.38812398950182 -1.7281748536265538 -0.6103384195667332
27,19677.814309835434,124.60220945206355 -1.5553573682638984 -0.6395486504056201
28,21619.49899828434,136.92536796687264 -1.3998216314375085 -0.6686039743205252
29,23755.96605682373,150.46728685879637 -1.2598394682937577 -0.6976492898561507
30,26102.187361836433,165.34850152913134 -1.133855521464382 -0.726305321495886
31,28678.841789126396,181.70146833036242 -1.0204699693179438 -0.7544559551539665
32,31517.486993670464,199.67174354823527 -0.9184229723861493 -0.7824808038518156
33,34631.03293347359,219.41927898515573 -0.8184229723861494 -0.8102930815951956
34,38056.383333325386,241.11984567678763 -0.7184229723861494 -0.8381017331973256
35,41819.25003218651,264.96659841422195 -0.6184229723861494 -0.8657153929266839
36,45954.41943836212,291.1717949973885 -0.5184229723861494 -0.8933685112604143
37,50504.12374436855,319.9686855226302 -0.41842297238614945 -0.9205834761322174
38,55496.89399278164,351.6135885208183 -0.31842297238614947 -0.9477988913378773
39,60983.20842278004,386.3881724255273 -0.21842297238614947 -0.9748283865554583
40,67019.62672746181,424.6019626784119 -0.11842297238614946 -1.001698511466714
41,73650.73109960556,466.59509678730683 -0.018422972386149455 -1.0283450719857017
42,80936.05522930622,512.7413518595715 0.08157702761385055 -1.0548819288839097
43,88943.47815215588,563.451471558483 0.18157702761385056 -1.081456932419071
44,97744.35873568058,619.1768220956169 0.28157702761385056 -1.1084101772338897
45,107415.65499985218,680.4134098008734 0.3815770276138506 -1.135266500662671
46,118049.59199988842,747.7062960301798 0.4815770276138506 -1.1622534407472769
47,129731.61905097961,821.6544487075646 0.5815770276138506 -1.1890853578311489
48,142571.07774722576,902.9160736847427 0.6815770276138505 -1.3079938936142637
49,156685.83554768562,992.2144733721638 0.7815770276138505 -1.43879328297569
50,172199.19917845726,1090.3444847886708 0.8815770276138505 -1.582672611273259
51,189248.64635884762,1198.17955433427 0.9815770276138505 -1.740939872400585
52,207987.48184204102,1316.6795122579294 1.0815770276138506 -1.9150338596406433
53,228589.487642169,1446.8991160202386 1.1897347303752357 -2.1065372456047076
54,251238.08556461334,1589.99743859464 1.3087082034127593 -2.3171909701651785
55,276122.8884218931,1747.2481852716498 1.4395790237540351 -2.5489100671816964
56,303491.12895822525,1920.051030795016 1.5835369261294385 -2.803801073899866
57,333566.2588802576,2109.9440777406435 1.7418906187423824 -3.084181181289853
58,366635.05107045174,2318.6175470291932 1.9160796806166207 -3.3925992994188383
59,402992.21543610096,2547.9288224303805 2.107687648678283 -3.731859229360722
60,442964.33157527447,2799.9189829687452 2.3184564135461114 -4.061463098337697
61,486906.8884129524,3076.8309703843543 2.5503020549007225 -4.360698888705442
62,535231.8755135536,3381.1295533553666 2.8053322603907946 -4.634596094908505
63,588364.1245234013,3715.523266182213 3.0858654864298742 -5.098055704399355
64,646799.5926554203,4082.988517207634 3.3944520350728618 -5.607861274839291
