iteration,error,currentInitImpulse
0,1553800.7719740868,898.7115122338917 33.236860681198905 -0.4045036685385484
1,1542205.7897170782,1774.5737750009707 81.68495445300044 -0.43993862985751814
2,1544350.5224624872,2650.3753168519556 136.86855571320098 -0.47281059145114607
3,1546732.4468324184,3526.4196114115525 196.22631101442934 -0.5079773318686265
4,1547649.5508563519,4402.081014382504 256.66795584060054 -0.5357828986563462
5,1548559.2503865957,5277.592060222823 314.73415308747775 -0.6734994304098862
6,1550207.1157736778,6153.134319694717 373.89074426386276 -0.7056859385885972
7,1552061.8759714365,7028.742772033171 435.37364560017437 -0.7399288070120591
8,1552940.911585331,7904.2208925797295 493.8635908437989 -0.7715788733877915
9,1554729.5568457842,8779.708340775689 554.9658145615632 -0.8016792189993638
10,1555836.9705226421,9655.075833604076 614.871915663215 -0.8366969478049058
11,1557311.6623094082,10530.43656100932 674.9205234417888 -0.8704927813925523
12,1558674.697483778,11405.715681242842 735.3389831217145 -0.9047952544607896
13,1560260.1046512127,12281.015999178902 796.4551570475846 -0.936147297612645
14,1561434.0169579983,13156.247458693522 856.1522599651771 -0.9709862124838609
15,1562784.9668403864,14031.416696245442 915.7888941090323 -1.002666081181981
16,1564235.033216238,14906.57953526501 975.3836175580303 -1.0343211595162154
17,1565577.6421313286,15781.656708613318 1035.2134694666568 -1.0682345462120113
18,1567010.2449893951,16656.724063685753 1094.884714082815 -1.1022988214822795
19,1568430.996874094,17531.7262191862 1155.1393269102396 -1.1309575310039652
20,1569846.5812849998,18406.7030675677 1215.3204336778356 -1.1689299087311342
21,1571316.3201978207,19281.64639497377 1276.013589170848 -1.2016914832123267
22,1572720.413013935,20156.561563358024 1336.5766523355633 -1.2366847218900514
23,1574065.6920279264,21031.43296803958 1396.7438178862621 -1.2710733686441287
24,1575529.816608429,21906.276330124318 1457.3242759940533 -1.3043909576658304
25,1576856.1849827766,22781.05170810204 1517.713209981275 -1.363383697498011
26,1578366.0839543343,23655.817101027667 1578.583599309324 -1.3946421914147364
27,1579728.281838894,24530.517103968166 1639.5043064975653 -1.4290678969197979
28,1581083.1800439358,25405.177031183048 1700.1018016653115 -1.466459797022174
