iteration,error,currentInitImpulse
0,5523.195401191711,11.436033936716154 -20.80357470018039 -0.6197076970062713
1,6489.9883378744125,14.71817567655369 -14.562502290126275 -1.1197076970062714
2,7923.313805222511,18.942292095724596 -10.193751603088394 -1.6197076970062714
3,9888.405316710472,24.378729927197558 -7.1356261221618755 -2.1197076970062714
4,12517.236726522446,31.37542541630326 -4.994938285513313 -2.7556200061081526
5,15959.16894698143,40.380172510782295 -3.496456799859319 -3.5823060079405984
6,20437.93001163006,51.96928202137682 -2.4475197599015233 -4.656997810322778
7,26232.386239767075,66.88446596151196 -1.7132638319310662 -6.054097153419612
8,33708.66766810417,86.0803076924659 -1.1992846823517462 -7.870326299445495
9,43364.457317352295,110.78535600020359 -0.6992846823517462 -10.231424189279144
10,55799.84740793705,142.58075317226204 -0.19928468235174623 -13.300851446062888
11,71796.3195770979,183.50142933270124 0.30071531764825377 -17.291106879881752
12,92386.706579566,236.16633955118652 0.8007153176482538 -22.478438943846278
13,118896.73055839539,303.946079002377 1.3007153176482538 -29.22197062700016
14,153015.33500099182,391.1786036760592 1.8007153176482538 -37.98856181510021
15,196940.1357395649,503.44686293108816 2.34092991294273 -49.385130359630274
16,253497.165894866,647.9361125923105 3.043208886825549 -64.20066946751936
17,326303.782941699,833.8937769063035 3.9561715528732133 -83.46087030777517
18,420058.9613324404,1073.2212908784127 5.143023018735177 -108.49913140010771
19,540777.0043869019,1381.235801360517 6.68592992435573 -141.04887082014002
20,696240.4508917332,1777.6504763509854 8.69170890166245 -183.36353206618202
21,896500.2987350225,2287.8361630637182 11.299221572161185 -238.37259168603663
22,1154525.0487942696,2944.445141863006 14.688988043809541 -309.8843691918476
23,1487080.0111056566,3789.500897577689 19.095684456952405 -402.8496799494019
24,1915856.6879632473,4877.087655182486 24.824389794038126 -523.7045839342225
25,2469007.2795437574,6276.811812219858 32.27170673224956 -680.8159591144891
26,3183077.482426882,8078.256802326958 41.95321875192443 -885.0607468488358
27,4105678.0455343723,10396.716504594795 54.53918437750176 -1150.5789709034866
28,5299027.012726188,13380.574141413501 70.9009396907523 -1495.7526621745326
29,6844741.586238265,17220.798919999175 92.17122159797799 -1928.8837865999924
30,8850419.683814406,22163.16821003894 119.82258807737139 -2374.529150982332
31,1.1458899860299706E7,28523.997486320117 155.7693645005828 -2831.6825411558784
32,1.4860932486664295E7,36710.38476489399 202.50017385075765 -3289.7533187752188
33,1.931329569849956E7,47246.26519241856 263.2502260059849 -3739.9967949698885
34,2.5163924564597607E7,60805.943302642685 342.2252938077804 -4206.429811794946
35,3.2885143170105696E7,78257.24903050113 444.89288195011454 -4695.539277516751
36,4.3109227803111196E7,100717.07950225496 578.3607465351489 -5182.753895917696
37,5.662596864908743E7,129622.88131940213 751.8689704956936 -5678.677354976481
38,2.3562573730754018E7,166824.64825807052 977.4296616444017 -6191.390367330765
39,1.0812706785436296E8,214703.32230813673 1270.6585601377221 -6612.175184419997
40,2.119562915029614E8,276323.175810572 1651.8561281790387 -6942.781919507688
41,3.8097613443409276E8,355627.9272682062 2147.4129666327503 -7162.864806240385
42,3.008599984007435E8,294266.73519626475 2791.6368566225756 -7282.554048535083
43,3.2028472767501926E8,203926.8474910115 1954.145799635803 -7310.169922427845
44,1.1836830058554006E8,141321.30531127096 1367.9020597450622 -7296.546172897696
45,7.684793498537278E7,97935.66458071079 957.5314418215435 -7281.8376227379595
46,5.738160916878402E7,67869.41555443258 670.2720092750804 -7319.583800506566
47,3.875991140849948E7,47033.504979221776 871.3536120576046 -7411.1252507354975
48,2.6367920432998896E7,32594.21895060069 1132.759695674886 -7522.946435669708
49,1.7100756889600515E7,41948.759789423086 1472.5876043773517 -7702.6405407386255
50,2.2254003968999267E7,53988.05384898751 1914.3638856905573 -7916.801852070031
51,2.9041591811057925E7,69482.62530364691 2488.6730513977245 -8155.054842068787
52,3.801823693948114E7,89424.13876579358 3235.274966817042 -8411.769840066723
53,4.990838855883646E7,115088.86659157634 4205.857456862154 -8695.241239182216
54,7085361.623078585,111657.90226017605 1404.8363250381674 -7368.922901746052
55,4.719276370619619E7,143703.72020884656 1826.2872225496176 -7689.26628832409
56,7.128646585866034E7,184946.6879087855 2374.173389314503 -7964.453921063863
57,1.4238754562443972E8,238026.38733860696 3086.4254061088536 -8182.856207199265
58,1.5955829127711892E7,242803.5107136484 4012.35302794151 -8317.124256229428
59,1.9133923637626255E8,168262.83292455832 2808.647119559057 -8371.840520961628
60,858564.5415645838,116606.14321671892 1966.05298369134 -8383.419393897757
61,6.914226323095143E7,80808.05724918621 2555.868878798742 -8448.881513050761
62,4.034182449949396E7,59353.86170527007 3322.6295424383648 -8584.55572788461
63,8.836516843961155E7,105830.03557324708 1427.877754309975 -8193.61427132194
64,5.9770506146405935E7,136203.255782769 1856.2410806029675 -8386.28522601004
65,5.2732364022019625E7,175293.59019242367 2413.1134047838577 -8603.12293076927
66,1.2354083670672429E8,225602.85057764925 3137.047426219015 -8759.89973900067
67,1.5688194225404644E8,156342.7754503109 4078.1616540847194 -8863.592370357279
68,3.529212198787248E7,108345.54338706547 2854.7131578593035 -8931.70417040153
69,6.383337588856721E7,75083.46156723637 3711.1271052170946 -9057.500755181723
70,4.1366063351002574E7,96632.4150370332 4824.465236782223 -9217.562384165598
71,5.433232664845455E7,124365.91815266173 6271.8048078168895 -9411.257031510191
72,7.709754423420942E7,85025.52739588328 1254.3718070648906 -9147.256443471933
73,4.718117670175767E7,109427.85375850178 1630.6833491843577 -9383.853586221589
74,5.4967424017564654E7,140833.6477871918 2119.8883539396647 -9646.272702699956
75,6.69992264582082E7,181252.90470211586 2755.8548601215643 -9874.126453758265
76,1.3502485135310507E8,233272.4883516231 3582.6113181580336 -10041.448360676266
77,1.716849058960582E8,161657.83442767482 4657.394713605443 -10152.261635320281
78,1.9332982959723115E7,112028.87925837867 3260.1762995238105 -10234.22153701965
79,6.616813517075205E7,77636.01332605642 4238.229189380953 -10372.625487297639
80,4.290044707547104E7,99917.54915063462 5509.69794619524 -10548.11102530496
81,5.635493794907081E7,128593.88575686676 7162.607330053812 -10780.15402817865
82,2.081115807832229E7,165500.33096908752 9311.389529069955 -11045.043227673385
83,1.0667064905478549E8,212998.92595721566 12104.80638779094 -11248.446256859523
84,8.472038217529106E7,107165.05370089514 1846.4589498293417 -13772.987624953588
85,6.060095624430597E7,137921.42411305205 2400.3966347781443 -14021.596203555402
86,6.06667990501672E7,177504.87283349797 3120.5156252115876 -14303.566566129006
87,1.2779650024020696E8,228448.77133671188 4056.670312775064 -14531.47995447684
88,1.6233850584488308E8,158314.99853634133 5273.671406607583 -14686.315920369594
89,2.884700490045762E7,109712.29398568455 6855.772828589857 -14799.97317700706
90,4.655577931359339E7,85486.00089913244 8912.504677166815 -14952.955286959168
91,4.778452396109271E7,110020.48315718345 11586.25608031686 -15161.56989226593
92,5.084240288175869E7,141596.3618232951 15062.132904411917 -15407.607850436918
93,6.927246121188605E7,182234.5176665808 19580.77277573549 -15616.018713687705
94,6.723200389617753E7,142730.1358838158 25455.00460845614 -15766.596575523085
95,2.2010769028533697E7,158956.91932363083 2695.445281228112 -14415.761183901654
96,2.7595939529123783E7,110157.14509127615 3504.0788655965457 -14507.014360214172
97,3.363273975857711E7,127213.25300901808 4555.30252527551 -14642.726454796937
98,1.4319881664503455E7,163723.45662260626 5921.893282858163 -14827.210814388127
99,3.4141852286940575E7,181530.81371249113 7698.461267715612 -14936.153774423543
100,4.6406008447157025E7,125800.85390275635 10007.999648030294 -15018.606581809403
101,8661960.65845728,150221.2987786086 13010.399542439383 -15153.66949454
