iteration,error,currentInitImpulse
0,3192558.151219487,1829.0112577188022 90.1897720264571 -0.42827996133945173
1,3117983.233873725,3593.986085952521 235.34899868241718 -0.7725921523489732
2,3031100.134165168,5305.312633088828 394.7836152481215 -0.8384195220389146
3,3014472.720067382,7006.922794622184 511.4975086616652 -0.9251621615805405
4,3161510.454830885,8788.89286807418 623.302178757109 -1.0141161334433335
5,3046049.4450376034,10503.67725946784 714.2381540702956 -1.1057999980368394
6,2983662.894008994,12178.1488659513 834.8745278286117 -1.1729744326987046
7,3164360.947332859,13952.073641542196 942.9087332653182 -1.2400475394644517
8,3169253.595109701,15723.800168031454 1074.1510561870712 -2.2183683764853255
9,3320639.645796895,17579.90853713393 1161.6731277870315 -2.2866931807913558
10,3245671.557011962,19386.581994031665 1306.0945741104263 -3.269883717290379
11,3219632.4960392714,21179.449840987916 1387.859701292433 -3.3384767424978987
12,3076616.127324581,22881.56226106047 1583.3368472026962 -3.4077134978689925
13,3257877.6107040644,24685.13777846693 1722.4899641441482 -3.497877444020726
14,2993840.812831402,26339.867563661326 1844.615130798735 -3.567072476140477
15,3400313.035573244,28217.375079082238 1958.8392368721145 -4.646935786000706
16,3164838.7879912853,29959.048150933966 2101.5582851337567 -4.716428841344334
17,3365756.4127305746,31809.39204159139 2229.088365213789 -4.786649073354222
18,3397497.7167948484,33671.864440339785 2382.281165497221 -4.879250849477269
19,3334588.661846876,35496.65075934766 2527.2155872749463 -4.9503770720877425
20,3195841.5113230944,37244.07131636023 2638.6537245678082 -5.02137216447971
21,3263971.0568124056,39021.098269332644 2816.7571715282575 -5.092772568456151
22,3395025.6491941214,40867.535778859856 2978.595899717726 -5.163797463170506
23,3290234.9895436764,42655.79633578659 3102.536671535887 -5.234393204442479
24,3294899.914015293,44443.5735646093 3222.022639887251 -5.28832944749973
25,3430771.702883482,46302.85991032006 3327.05114998094 -5.359789456120946
26,3508003.3947376013,48197.55261904123 3475.319211857237 -6.7043748748221175
27,3560505.4442379475,50118.1094162977 3606.7068568634168 -6.7766335856833235
28,3377279.5848799944,51936.202252906594 3733.3582750724927 -6.849649275533177
29,3267461.8237144947,53691.68830183391 3859.9441758560315 -6.923433865300633
30,3419665.238354802,55523.29251601581 4026.4082125591412 -6.9971230876364485
31,3469937.67210567,57380.957978977014 4156.584434883513 -7.070776547185399
32,3386524.4362649918,59194.05844974881 4232.653319017805 -7.182368363133885
33,3479108.586427927,61049.525228494465 4366.752814428724 -7.256617869130589
34,3508483.426718831,62917.229913696116 4501.193898098387 -7.337501372090794
35,3677474.8918890953,64871.85167143233 4632.153867857374 -7.412543619863011
36,3535473.07014668,66746.52648803123 4771.636896507658 -7.487091149083592
37,3715454.88685596,68715.29111070998 4883.198516743101 -7.562729443303563
38,3527501.771182418,70576.58640713102 5053.949939386763 -7.638236607305028
39,3805537.2375016212,72583.01389354115 5205.71839727632 -8.693352068654516
40,3519879.469876528,74433.11265413646 5379.683720247664 -8.791282500020483
41,3531755.1933789253,76290.89235535983 5484.297024385847 -8.868178452245214
42,3613573.796839714,78189.03154769304 5581.098001377501 -8.966406906835058
43,3616089.560384512,80085.21778787972 5676.447074787535 -8.73635681985996
44,3576544.4320759773,81955.05780948044 5805.132692234434 -8.814575995198705
45,3652009.959220648,83863.65370094657 5897.677104847349 -8.9365151774802
46,3616402.953275919,85748.20255147337 6021.342127697386 -9.014776076070287
47,3623946.8845106363,87631.68243441937 6171.5160540508405 -9.09312042116306
48,3715144.3454105854,89557.65548786518 6349.103962557234 -9.171947563878515
49,3641800.9289363623,91446.39655359622 6464.305096046843 -9.251656855336645
50,3655391.7887431383,93339.20393164034 6577.628969328322 -9.692510689488866
51,3810232.3694434166,95307.85841685647 6710.999517815031 -9.771665657750585
52,3641479.330145955,97186.22212915772 6838.581877128996 -9.85104712366245
53,3532423.188778043,99004.89579514854 6971.110015289702 -9.953018749944189
54,3754260.306731105,100934.397366079 7117.381649391569 -10.038736189595678
55,3862211.162201643,102918.32020690312 7236.466704981245 -17.974093283406713
56,3887938.9038034678,104913.94888736118 7331.457560436644 -18.07636293291233
57,3689280.650817871,106803.86886740077 7433.801614420332 -18.179860438100317
58,3903050.554984212,108797.98749398577 7575.800876991667 -18.261506880513647
59,3923318.9369283915,110799.45073006974 7717.758183853544 -18.343475188008764
60,3791005.338579297,112730.44242308007 7856.717782394804 -19.485100830785253
61,3866121.1410012245,114693.24617000922 8051.863735096373 -21.71664508699558
62,3605974.740801811,116525.9368874584 8168.223040478148 -21.799316729299047
63,3907289.2632209063,118506.26074022634 8336.203931944288 -21.882161225072362
64,3850993.2229970694,120460.26687734944 8430.553977863707 -22.99545678018711
65,3672914.4421736,122317.64324586253 8578.078930752195 -23.104068363896825
66,3918175.7378132343,124299.31534973482 8695.29011763803 -23.209354008428075
67,3847234.833840251,126241.17302909234 8833.074336426176 -23.294147576085546
68,3819750.7953207493,128167.40479053833 8962.338315622725 -24.416270579091528
69,3838633.893448949,130101.1742924533 9089.24123563043 -25.539687002889135
70,3828890.892004609,132028.99351632452 9200.274544136442 -25.268807734242895
71,3912768.7477577925,133995.35115443566 9337.495850698866 -33.42525037645481
72,3710724.0729341507,135859.87283239703 9444.873409645475 -33.511313523046
73,3910821.770928502,137823.3698051868 9553.816222326674 -33.975967491857034
74,4021892.9466531277,139837.468337854 9714.090698139586 -34.068074549428445
75,3799137.645005822,141741.81780965196 9814.86163653604 -35.223868216268045
76,4091158.0911248922,143790.96287208903 9922.088675873198 -38.594701613179666
77,3841964.422589302,145708.5131872212 10100.710212366499 -38.68288072466038
78,3851723.0776913166,147634.00013498656 10215.622072594084 -38.77062472223423
79,4214646.7010343075,149739.24050548906 10345.845275299467 -38.859137619725686
80,3998459.6874130964,151734.76804282542 10477.34463729135 -40.00681313394688
81,3657704.4181683064,153555.63370539068 10651.94494642488 -41.149094427815896
82,4039699.826261997,155569.25471544624 10794.408147709288 -42.29240092157505
83,3903959.1735414267,157514.90025805833 10926.32819332353 -42.38219531892918
84,4133149.307630062,159574.36368320827 11063.185696976103 -42.46552857278965
85,4044399.918549061,161593.42232963926 11135.110299961485 -42.556032265416604
86,3905175.494935155,163539.53380772003 11251.431100742735 -44.106736506215555
87,4057726.2115215063,165558.21622367273 11421.682589428343 -44.19803294061802
88,4060442.371377468,167577.95704526317 11598.055731432356 -44.28260597108982
89,4035008.0869175196,169589.17837828054 11717.5483814644 -44.374707068196756
90,4151716.274381399,171659.44792883293 11835.621850864805 -44.46714195131443
91,3884250.237361133,173594.3457168712 11985.411678926863 -44.55932053445957
92,3962328.2802715898,175566.6750906982 12172.752206699766 -44.65214284776829
93,3997512.7270181775,177559.48913254164 12335.182445423521 -44.74480422853611
94,3792384.4695166945,179454.61376632118 12441.446422712721 -44.85883089422367
95,3990728.1908539534,181452.3559529772 12525.480031149305 -44.973626459828836
96,3896526.2539739013,183400.66069125084 12667.088504807867 -45.08839222311161
97,3876948.6345415115,185342.0803688565 12795.328607337393 -47.809657181493264
98,4012425.856628716,187353.37753090294 12933.568366544165 -47.90410074113987
99,3945112.123735547,189335.2812703458 13045.41803218595 -48.020156944982034
100,3881956.4024814367,191289.41783733285 13140.196963326849 -48.11511608480595
101,3758303.48631233,193182.30230504432 13261.557608024992 -48.21101697801731
102,3827584.195280969,195108.92872374455 13450.76807953588 -48.30698939680241
103,3775001.3893069625,197017.847025675 13563.464113252081 -48.40342971204899
1
