iteration,error,currentInitImpulse
0,5523.194447517395,11.436033936716154 -20.80357470018039 -0.6197076970062713
1,6489.970530390739,14.71817567655369 -14.562502290126275 -1.1197076970062714
2,7923.313232302666,18.942292095724596 -10.193751603088394 -1.6197076970062714
3,9888.40463578701,24.378729927197558 -7.1356261221618755 -2.1197076970062714
4,12517.224541544914,31.37542541630326 -4.994938285513313 -2.7556200061081526
5,15959.157564878464,40.380172510782295 -3.496456799859319 -3.5823060079405984
6,20437.920898914337,51.96928202137682 -2.4475197599015233 -4.656997810322778
7,26232.3740170002,66.88446596151196 -1.7132638319310662 -6.054097153419612
8,33708.65335702896,86.0803076924659 -1.1992846823517462 -7.870326299445495
9,43364.437032580376,110.78535600020359 -0.6992846823517462 -10.231424189279144
10,55799.820360422134,142.58075317226204 -0.19928468235174623 -13.300851446062888
11,71796.28458714485,183.50142933270124 0.30071531764825377 -17.291106879881752
12,92386.65881729126,236.16633955118652 0.8007153176482538 -22.478438943846278
13,118896.7186318636,303.946079002377 1.3007153176482538 -29.22197062700016
14,153015.30440723896,391.1786036760592 1.8007153176482538 -37.98856181510021
15,196940.08961486816,503.44686293108816 2.34092991294273 -49.385130359630274
16,253497.2005931139,647.9361125923105 3.043208886825549 -64.20066946751936
17,326303.69813144207,833.8937769063035 3.9561715528732133 -83.46087030777517
18,420058.90084540844,1073.2212908784127 5.143023018735177 -108.49913140010771
19,540776.9856572151,1381.235801360517 6.68592992435573 -141.04887082014002
20,696240.3991844654,1777.6504763509854 8.69170890166245 -183.36353206618202
21,896500.305781126,2287.8361630637182 11.299221572161185 -238.37259168603663
22,1154525.1653795242,2944.445141863006 14.688988043809541 -309.8843691918476
23,1487080.2920041084,3789.500897577689 19.095684456952405 -402.8496799494019
24,1915857.0132998228,4877.087655182486 24.824389794038126 -523.7045839342225
25,2469007.601795554,6276.811812219858 32.27170673224956 -680.8159591144891
26,3183077.646638751,8078.256802326958 41.95321875192443 -885.0607468488358
27,4105677.8798748255,10396.716504594795 54.53918437750176 -1150.5789709034866
28,5299027.030135632,13380.574141413501 70.9009396907523 -1495.7526621745326
29,6844734.800371289,17220.798919999175 92.17122159797799 -1917.3341943005676
30,8850413.215630054,22163.16821003894 119.82258807737139 -2350.867009409535
31,1.1458889684391737E7,28523.997486320117 155.7693645005828 -2792.791384571738
32,1.4860919840969682E7,36710.38476489399 202.50017385075765 -3225.4554225977486
33,1.931330708276832E7,47246.26519241856 263.2502260059849 -3697.8819479025483
34,2.5163931998430133E7,60805.943302642685 342.2252938077804 -4173.818669882145
35,3.2885141664510965E7,78257.24903050113 444.89288195011454 -4665.787911622681
36,4.310923694098842E7,100717.07950225496 578.3607465351489 -5168.4592377088775
37,5.662597233045852E7,129622.88131940213 751.8689704956936 -5670.297630080676
38,7.4129603144719E7,166824.64825807052 977.4296616444017 -6170.640641083582
39,9.452970907043606E7,214703.32230813673 1270.6585601377221 -6682.615472702257
40,1.0403748068829328E8,276323.175810572 1651.8561281790387 -7183.958198718916
41,1.8542934782958984E7,355627.9272682062 2147.4129666327503 -7666.157738951453
42,5.6469609429667234E7,457693.14239418134 2791.6368566225756 -8076.934506770209
43,1.3123086562489432E8,589051.0742613114 3629.127913609348 -8419.015641515372
44,3.134855809825564E8,758108.7325743078 4717.866287692153 -8649.353379681614
45,7.960782781546295E8,975685.9388231342 6133.226173999798 -8727.963534919956
46,1.9659104254523492E8,1008757.9884763325 7973.194026199738 -8595.56167404913
47,1.121849589823022E9,699069.2860140984 5581.235818339816 -8231.268924555807
48,2.974199978093496E8,484455.01520777016 3906.8650728378716 -7790.376285798223
