iteration,error,currentInitImpulse
132,233817.8920288086,641.5009970514618 138.93026351407804 -1.1368973919353769
133,233404.32186889648,646.2258802667939 140.12633132413663 -1.1374085613689706
134,149296.56217956543,649.2373769464814 140.94040297941007 -1.1374467083416269
135,159945.4656829834,652.520243560251 141.56425857023038 -1.1375306316814706
136,203529.1480102539,656.6941547907197 142.37594222501554 -1.1385300823650644
137,192401.8606414795,660.4466640436494 143.9822578378085 -1.1385224529705331
138,307725.0266265869,666.5221484552706 146.23070907071866 -1.1389573284588144
139,271884.15296936035,672.0399699030245 147.56717299894132 -1.1399872967205331
140,292425.5361480713,677.856024383005 149.5178794808749 -1.1402772137127206
141,250534.0210571289,682.8794000299777 151.0124549813632 -1.1403458782635019
142,188529.6581878662,686.6896180231417 152.00992965177335 -1.1404145428142831
143,116532.7897644043,688.9921761041965 152.8506889291171 -1.1423295208416269
144,167151.23458862305,692.4335281305637 153.4598426766757 -1.1424210735760019
145,138752.46461486816,695.14540322822 154.59354018644132 -1.1430085369549081
146,221844.9850616455,699.7052855280247 155.43183516935147 -1.1452897259197519
147,199159.7320098877,703.7821890070286 156.25926589444913 -1.1567033001385019
148,268247.47929382324,709.3202512384739 157.16789626554288 -1.1573823162517831
149,261400.10214233398,714.8116597223607 157.64224624112882 -1.1573746868572519
150,220567.44677734375,719.3014355158177 158.66579055265225 -1.1612504192791269
151,243948.6767578125,724.270520391306 159.78602981046475 -1.1614335247478769
152,168728.56401062012,727.6981623957006 160.59892653898038 -1.1614945599041269
153,133804.4432067871,730.2878908869116 161.80336379483975 -1.1615327068767831
154,269798.6390533447,735.8527017755835 162.74002456144132 -1.1614335247478769
155,289774.9133300781,741.8657624811499 163.58980941251554 -1.1615098186931894
156,346797.60565185547,749.0209893244116 164.78512954191007 -1.1614564129314706
157,244659.30880737305,753.9918060724585 165.96258925870694 -1.1615250774822519
158,267521.91667175293,759.451789080271 167.14298629239835 -1.1614793011150644
159,235142.26998901367,764.2820876398414 168.04798507169522 -1.1618607708416269
160,116705.1082611084,766.6295141901344 168.71117019132413 -1.1618149944744394
161,268786.81021118164,772.0263181818336 170.28515243009366 -1.1699708172283456
162,197435.3419494629,775.9932897150368 171.42792891935147 -1.1699174114666269
163,173925.15950012207,779.5308026300759 172.24962233976163 -1.1700928875408456
164,258011.32649230957,784.8784351740212 173.03557204679288 -1.2101014324627206
165,209224.0464477539,789.1714031061501 173.8582115121249 -1.2106278606853769
166,137705.92108154297,791.9583361872048 174.56997298673429 -1.2114060589275644
167,216142.542678833,796.4656977350564 175.10697555021085 -1.2113450237713144
168,218979.10543823242,800.9623552423807 175.95438765958585 -1.2114136883220956
169,172963.49995422363,804.4003732233377 177.11904525235929 -1.2114213177166269
170,289761.6161804199,810.2372101740214 178.73373031095304 -1.2116883465252206
171,296809.61669921875,816.4208946588847 179.49876784757413 -1.2309449383220956
172,270002.4931640625,821.8095123102519 181.21947860196866 -1.2310746380291269
173,246911.10816955566,826.9459708429667 181.88946914151944 -1.2310822674236581
174,196382.94734191895,830.9481215143535 182.78132247403897 -1.2311051556072519
175,202374.9471130371,835.1513067316387 183.3589439339999 -1.2313187786541269
176,137946.12762451172,837.9051816461895 184.23670577482022 -1.2443116375408456
177,248217.56813049316,842.9326924249981 185.50040053800382 -1.2443650433025644
178,311654.2518310547,849.4113750788067 186.3643836923007 -1.2445176311931894
179,207999.54539489746,853.5873309870099 187.58377456144132 -1.2450288006267831
180,183217.73805236816,857.3250315851544 188.40111159757413 -1.2452347942791269
181,184051.12475585938,861.0977053278302 189.14234542325772 -1.2451508709392831
182,236859.81489562988,866.0186334650373 189.81137465909757 -1.2451203533611581
183,218521.28923034668,870.6559846369123 190.00706862882413 -1.2451661297283456
184,281752.3598937988,876.49601067451 190.86198043302335 -1.2452119060955331
185,205294.67416381836,880.6520691217756 191.91754531339444 -1.2515366741619394
186,28446.932846069336,879.8310310114241 192.83759688810147 -1.2516816326580331
