iteration,error,currentInitImpulse
0,1891.0040825605392,9.76461359211918 -26.747453185946217 -0.2197076970062713
1,2008.1177028417587,10.730333876379767 -24.072707867351596 -0.31970769700627133
2,2147.544988632202,11.791563896753726 -21.665437080616435 -0.4197076970062713
3,2299.1717681884766,12.957749566142668 -19.498893372554793 -0.5197076970062713
4,2476.7043046951294,14.23927099823418 -17.549004035299312 -0.6197076970062713
5,2677.3681725263596,15.647534899959538 -15.794103631769381 -0.7197076970062712
6,2898.4972666502,17.195076101565537 -14.214693268592443 -0.8197076970062712
7,3145.7756506204605,18.89566912801037 -12.7932239417332 -0.9197076970062712
8,3427.534289121628,20.764450804770593 -11.513901547559879 -1.0197076970062713
9,3736.4472192525864,22.818054989362402 -10.36251139280389 -1.1216784667068984
10,4076.499895453453,25.074760627810342 -9.3262602535235 -1.2338463133775883
11,4458.855579972267,27.554654453900785 -8.39363422817115 -1.3572309447153472
12,4874.769691824913,30.27980977939157 -7.554270805354035 -1.4929540391868819
13,5337.290266990662,33.274482966573395 -6.7988437248186315 -1.64224944310557
14,5847.704511523247,36.56532933196751 -6.118959352336768 -1.806474387416127
15,6412.595350027084,40.181640402899106 -5.507063417103091 -1.9871218261577397
16,7029.757555127144,44.15560463874583 -4.956357075392782 -2.1858340087735137
17,7712.65351164341,48.52259393751779 -4.4607213678535045 -2.4044174096508653
18,8464.98492860794,53.32147847793831 -4.014649231068154 -2.644859150615952
19,9291.79589688778,58.59497269940641 -3.6131843079613386 -2.909345065677547
20,10201.628922581673,64.3900154993777 -3.251865877165205 -3.200279572245302
21,11199.769478559494,70.75818803226616 -2.9266792894486846 -3.5203075294698323
22,12304.648469686508,77.7561728286573 -2.6340113605038162 -3.8723382824168153
23,13509.292649388313,85.4462583214115 -2.3706102244534346 -4.259572110658497
24,14840.115269422531,93.8968932693991 -2.133549202008091 -4.6855293217243466
25,16303.689299583435,103.18329601374266 -1.920194281807282 -5.154082253896782
26,17911.277933239937,113.38812398950182 -1.7281748536265538 -5.66949047928646
27,19678.183382987976,124.60220945206355 -1.5553573682638984 -6.236439527215106
28,21622.55739927292,136.92536796687264 -1.3998216314375085 -6.860083479936617
29,23753.495979070663,150.46728685879637 -1.2598394682937577 -7.546091827930279
30,26102.87399160862,165.34850152913134 -1.133855521464382 -8.300701010723307
31,28679.884338498116,181.70146833036242 -1.0204699693179438 -9.130771111795637
32,31518.14749801159,199.67174354823527 -0.9184229723861493 -10.0438482229752
33,34631.357657432556,219.41927898515573 -0.8184229723861494 -11.04823304527272
34,38056.93976414204,241.11984567678763 -0.7184229723861494 -12.153056349799993
35,41821.10073566437,264.96659841422195 -0.6184229723861494 -13.368361984779993
36,45953.794800281525,291.1717949973885 -0.5184229723861494 -14.705198183257991
37,50504.110027074814,319.9686855226302 -0.41842297238614945 -16.17571800158379
38,55497.41950953007,351.6135885208183 -0.31842297238614947 -17.79328980174217
39,60984.399844646454,386.3881724255273 -0.21842297238614947 -19.572618781916386
40,67022.3577517271,424.6019626784119 -0.11842297238614946 -21.529880660108024
41,73650.33781456947,466.59509678730683 -0.018422972386149455 -23.682868726118826
42,80937.0037702322,512.7413518595715 0.08157702761385055 -26.05115559873071
43,88945.75049567223,563.451471558483 0.18157702761385056 -28.65627115860378
44,97745.03584647179,619.1768220956169 0.28157702761385056 -31.521898274464156
45,107420.64583194256,680.4134098008734 0.3815770276138506 -34.67408810191057
46,118047.29793965816,747.7062960301798 0.4815770276138506 -38.14149691210163
47,129734.4835717678,821.6544487075646 0.5815770276138506 -41.95564660331179
48,142574.51429641247,902.9160736847427 0.6815770276138505 -46.15121126364297
49,156688.42708051205,992.2144733721638 0.7815770276138505 -50.766332390007264
50,172198.92577278614,1090.3444847886708 0.8815770276138505 -55.84296562900799
51,189252.0914554596,1198.17955433427 0.9815770276138505 -61.427262191908795
52,207994.10936045647,1316.6795122579294 1.0815770276138506 -67.56998841109967
53,228591.9396624565,1446.8991160202386 1.1897347303752357 -74.32698725220963
54,251240.68205714226,1589.99743859464 1.3087082034127593 -81.75968597743059
55,276127.91791796684,1747.2481852716498 1.4395790237540351 -89.93565457517366
56,303492.8964700699,1920.051030795016 1.5835369261294385 -98.92922003269102
57,333573.3420408964,2109.9440777406435 1.7418906187423824 -108.82214203596013
58,366640.63866508007,2318.6175470291932 1.9160796806166207 -119.70435623955615
59,402998.42234301567,2547.9288224303805 2.107687648678283 -131.67479186351176
60,442968.6559524536,2799.9189829687452 2.3184564135461114 -144.84227104986294
61,486918.40418183804,3076.8309703843543 2.5503020549007225 -159.32649815484925
62,535236.997880578,3381.1295533553666 2.8053322603907946 -175.25914797033417
63,588373.8918548822,3715.523266182213 3.0858654864298742 -192.78506276736758
64,646809.4686597586,4082.988517207634 3.3944520350728618 -212.06356904410433
65,711073.1550103426,4486.796081559469 3.733897238580148 -233.26992594851475
66,781751.0052604675,4930.540214025699 4.107286962438163 -256.5969185433662
67,859495.9231690168,5418.170641192841 4.518015658681979 -282.25661039770284
68,945018.4034535885,5954.027717606813 4.9698172245501775 -310.4822714374731
69,1039105.7803103924,6542.881058878126 5.466798947005195 -341.5304985812204
70,1142629.653927207,7189.971995601172 6.013478841705714 -375.6835484393424
71,1256550.3526850939,7901.060225966127 6.614826725876286 -413.25190328327665
72,1381921.573800683,8682.475082314177 7.276309398463915 -454.5770936116043
73,1519931.1034343243,9541.171867955049 8.003940338310306 -500.03480297276474
74,1671860.7517826557,10484.793765695802 8.804334372141337 -550.0382832700412
75,1839152.0035347939,11521.739869123117 9.68476780935547 -605.0421115970454
76,2023393.4788798094,12661.239942179394 10.653244590291017 -665.54632275675
77,2226350.3118418455,13913.436572460936 11.718569049320118 -732.100955032425
