iteration,error,currentInitImpulse
34,38035.28043341637,241.11984567678763 -0.7184229723861494 -3.8379996546375335
35,41795.14002764225,264.96659841422195 -0.6184229723861494 -4.074606216497965
36,45928.98970580101,291.1717949973885 -0.5184229723861494 -4.297531562271652
37,50473.93911969662,319.9686855226302 -0.41842297238614945 -4.727284718498817
38,55466.330966115,351.6135885208183 -0.31842297238614947 -5.200013190348699
39,60948.50440454483,386.3881724255273 -0.21842297238614947 -5.720014509383569
40,66982.86218619347,424.6019626784119 -0.11842297238614946 -6.292015960321926
41,73607.95273196697,466.59509678730683 -0.018422972386149455 -6.835291947760333
42,80890.4498591423,512.7413518595715 0.08157702761385055 -7.3363194626391035
43,88892.69835650921,563.451471558483 0.18157702761385056 -7.797479594305662
44,97688.80963337421,619.1768220956169 0.28157702761385056 -8.228376029036756
45,107356.59802675247,680.4134098008734 0.3815770276138506 -8.622638487760154
46,117979.9504326582,747.7062960301798 0.4815770276138506 -8.98801637917184
47,129658.25230920315,821.6544487075646 0.5815770276138506 -9.598950135091128
48,142490.80155682564,902.9160736847427 0.6815770276138505 -10.159565233294783
49,156595.95026779175,992.2144733721638 0.7815770276138505 -10.675062843573778
50,172102.6815546751,1090.3444847886708 0.8815770276138505 -11.150002450477661
51,189140.7535688877,1198.17955433427 0.9815770276138505 -11.588642006891087
52,207869.47582566738,1316.6795122579294 1.0815770276138506 -12.148965120338666
53,228460.65483808517,1446.8991160202386 1.1897347303752357 -13.195157847992457
54,251093.62243294716,1589.99743859464 1.3087082034127593 -14.29337919881289
55,275968.13688993454,1747.2481852716498 1.4395790237540351 -15.419261201885018
56,303317.3821616173,1920.051030795016 1.5835369261294385 -16.560145207739748
57,333377.89584970474,2109.9440777406435 1.7418906187423824 -17.598367815843766
58,366426.90311717987,2318.6175470291932 1.9160796806166207 -19.228536746308013
59,402763.4707096815,2547.9288224303805 2.107687648678283 -20.80046641015119
60,442713.717374444,2799.9189829687452 2.3184564135461114 -22.198479221665437
61,486629.78225672245,3076.8309703843543 2.5503020549007225 -23.470191323438492
62,534927.9868900776,3381.1295533553666 2.8053322603907946 -24.78592693990018
63,588032.8442317247,3715.523266182213 3.0858654864298742 -26.06115840777603
64,646431.4627305269,4082.988517207634 3.3944520350728618 -27.222267800686673
65,710656.0156611204,4486.796081559469 3.733897238580148 -28.346659946129023
66,781297.5890417099,4930.540214025699 4.107286962438163 -29.418662748531872
67,858997.5457988977,5418.170641192841 4.518015658681979 -30.396958981730773
68,944469.6087020636,5954.027717606813 4.9698172245501775 -31.3487708613346
69,1038501.2398406267,6542.881058878126 5.466798947005195 -32.23748817190004
70,1141965.6981996298,7189.971995601172 6.013478841705714 -33.04965275793611
71,1255818.8515043259,7901.060225966127 6.614826725876286 -33.848861094231495
72,1381120.613835454,8682.475082314177 7.276309398463915 -34.639481821088914
73,1519048.9914804697,9541.171867955049 8.003940338310306 -35.47414208266628
74,1670891.843409419,10484.793765695802 8.804334372141337 -36.530407576617904
75,1838088.0586681366,11521.739869123117 9.68476780935547 -37.684133417166024
76,2022223.767735839,12661.239942179394 10.653244590291017 -38.78749321395477
77,2225065.7338454723,13913.436572460936 11.718569049320118 -39.84131370253732
78,2448551.143494725,15289.475449477322 12.89042595425213 -41.11201892277897
79,2694861.0429964066,16801.60457143063 14.179468549677344 -43.22786042858069
80,2966390.7760272026,18463.283263545123 15.597415404645078 -45.20256312325191
81,3265817.868931055,20289.301978309733 17.157156945109588 -47.034705191764715
82,3596121.572454691,22295.91394396457 18.872872639620546 -48.73772883703837
83,3960608.438037634,24500.97983302267 20.7601599035826 -50.3658926810232
84,4362978.779026389,26924.12673850861 22.83617589394086 -51.92185842331337
85,4807365.983693361,29586.922872947114 25.11979348333495 -53.336249564319665
86,5298368.174635053,32513.06954508158 27.631772831668442 -54.65796372000968
87,5841150.060634136,35728.61212309015 30.394950114835286 -55.862011669766325
88,6441490.77923882,39262.17186206377 33.43444512631881 -57.23094080636771
89,6488184.832464933,42808.26992297604 36.7778896389507 -58.51145273271188
90,6520287.757559061,46358.86426385927 40.455678602845765 -59.71103592621672
91,6553422.924252629,49914.49334987691 44.50124646313034 -60.80630906903588
92,6587446.620512366,53475.634098444534 48.95137110944338 -61.83917669474488
93,6622275.240891814,57042.70618055116 53.84650822038772 -62.92542578742697
94,6657800.750476122,60616.084748984555 59.23115904242649 -65.34353610381868
95,6693948.971207142,64196.107051560255 65.15427494666915 -67.56456126411784
96,6730631.671086669,67783.07260393306 71.66970244133606 -69.6086057070353
97,6767744.246764779,71377.22982015376 78.83667268546967 -72.0950818278175
